level,name,phone,zipcode,address,v1,v2
診所,北成診所,03-9514467          ,26544,宜蘭縣羅東鎮中山路四段240號,V,
區域醫院,財團法人天主教靈醫會羅東聖母醫院,03-9544106          ,26546,宜蘭縣羅東鎮中正南路160號,V,
診所,石耳鼻喉科診所,03-9565973          ,26561,宜蘭縣羅東鎮公正里倉前路55號,V,
診所,王維昌診所,03-9562512          ,26550,宜蘭縣羅東鎮公正路167-3號,V,
牙科診所,多耐牙醫診所,03-9510012          ,26542,宜蘭縣羅東鎮公正路415號,V,
診所,洪內兒科診所,03-9576643          ,26550,宜蘭縣羅東鎮天津路3號,V,
衛生所,宜蘭縣羅東鎮衛生所,03-9542321          ,26547,宜蘭縣羅東鎮民生路79號,V,V
藥局,東安藥局,03-9532277          ,26561,宜蘭縣羅東鎮光榮路489號,V,V
診所,優昇診所,03-9572333          ,26548,宜蘭縣羅東鎮和平路74號,V,
診所,謝漢池診所,03-9572081          ,26549,宜蘭縣羅東鎮忠孝路91號,V,
藥局,順昇藥局,03-9541655          ,26550,宜蘭縣羅東鎮長春路60號,V,V
區域醫院,財團法人羅許基金會羅東博愛醫院,03-9543131          ,26546,宜蘭縣羅東鎮南昌里南昌街83號,V,V
診所,藍正州小兒科診所,03-9531168          ,26545,宜蘭縣羅東鎮南門路20號,V,
診所,謝世雄診所,03-9532323          ,26561,宜蘭縣羅東鎮倉前路53號,V,
診所,周建章診所,03-9545081          ,26550,宜蘭縣羅東鎮集祥里長春路21號,V,
診所,黃圭龍小兒科診所,03-9617199          ,26544,宜蘭縣羅東鎮維揚路32號,V,
藥局,潤康社區健保藥局,03-9576271          ,26550,宜蘭縣羅東鎮賢文里公正路167之2號1樓,V,V
診所,泰林診所,03-9562546          ,26545,宜蘭縣羅東鎮興東南路170號,V,
藥局,怡林藥局,03-9541926          ,26545,宜蘭縣羅東鎮興東南路174號,V,V
藥局,宏一藥局,03-9962125          ,27041,宜蘭縣蘇澳鎮中山路１段29號,V,V
診所,臺北榮民總醫院蘇澳分院附設門診部,03-9952443          ,27044,宜蘭縣蘇澳鎮中山路１段439號,V,
藥局,南陽藥局,03-9965076          ,27041,宜蘭縣蘇澳鎮中山路一段120號,V,V
衛生所,宜蘭縣蘇澳鎮衛生所,03-9962185          ,27044,宜蘭縣蘇澳鎮志成路60號,V,V
地區醫院,建生醫院,03-9962246          ,27044,宜蘭縣蘇澳鎮蘇西里中山路一段218號,V,
地區醫院,臺北榮民總醫院蘇澳分院,03-9905106-257      ,27047,宜蘭縣蘇澳鎮蘇濱路一段301號,V,
衛生所,新竹縣五峰鄉衛生所,03-5851005          ,31141,新竹縣五峰鄉大隘村6鄰99號,V,
衛生所,新竹縣北埔鄉衛生所,03-5802304          ,31441,新竹縣北埔鄉北埔村北埔街90號,V,
診所,嘉樂泰千診所,03-5842625          ,31342,新竹縣尖石鄉嘉樂3鄰99號,V,
衛生所,新竹縣尖石鄉衛生所,03-5842356          ,31341,新竹縣尖石鄉嘉樂村2鄰61號,V,V
